"id","label","marksize","visible","z","lat","lon"
"38.443_48.907","[[Lysychansk]]","14","TRUE",99,"48.907","38.443"
"39.562_49.521","[[Markivka]]","8","TRUE",99,"49.521","39.562"
"40.142_49.376","[[Milove]]","8","TRUE",99,"49.376","40.142"
"39.658_48.344","[[Molodohvardiysk]]","12","TRUE",99,"48.344","39.658"
"39.006_48.972","[[Novoaidar]]","8","TRUE",99,"48.972","39.006"
"38.350_48.967","[[Novodruzhesk]]","8","TRUE",99,"48.967","38.350"
"39.120_48.534","[[Novopskov]]","8","TRUE",99,"48.534","39.120"
"39.183_48.583","[[Oleksandrivsk]]","8","TRUE",99,"48.583","39.183"
"38.817_48.433","[[Perevalsk]]","12","TRUE",99,"48.433","38.817"
"38.517_48.633","[[Pervomaisk]]","12","TRUE",99,"48.633","38.517"
"38.878_48.300","[[Petrovske]]","10","TRUE",99,"48.300","38.878"
"38.380_48.633","[[Popasna]]","10","TRUE",99,"48.633","38.380"
"38.300_49.007","[[Pryvillia]]","8","TRUE",99,"49.007","38.300"
"39.028_48.559","Rodakove","8","TRUE",99,"48.559","39.028"
"39.343_48.071","[[Rovenky]]","12","TRUE",99,"48.071","39.343"
"38.367_49.017","[[Rubizhne]]","14","TRUE",99,"49.017","38.367"
"38.483_48.950","[[Sieverodonetsk]]","16","TRUE",99,"48.950","38.483"
"38.540_48.900","[[Sieverodonetsk Airport]]","10","TRUE",99,"48.900","38.540"
"38.977_48.698","[[Slovianoserbsk]]","8","TRUE",99,"48.698","38.977"
"38.649_48.560","[[Stakhanov, Ukraine|Stakhanov]]","14","TRUE",99,"48.560","38.649"
"39.467_48.667","[[Stanytsia Luhanska]]","10","TRUE",99,"48.667","39.467"
"39.722_48.354","[[Sukhodilsk]]","12","TRUE",99,"48.354","39.722"
"38.162_49.409","[[Svatove]]","10","TRUE",99,"49.409","38.162"
"39.655_48.075","[[Sverdlovsk, Luhansk |Sverdlovsk]]","14","TRUE",99,"48.075","39.655"
"39.421_48.838","Teple","8","TRUE",99,"48.838","39.421"
"38.376_48.524","[[Troitske]]","8","TRUE",99,"48.524","38.376"
"39.153_48.391","[[Uspenka]]","8","TRUE",99,"48.391","39.153"
"38.839_48.161","[[Vakhrusheve]]","10","TRUE",99,"48.161","38.839"
"39.216_48.160","Yasenivskyi","8","TRUE",99,"48.160","39.216"
"38.515_48.693","[[Zolote]]","10","TRUE",99,"48.693","38.515"
"38.617_48.417","[[Zorynsk]]","8","TRUE",99,"48.417","38.617"
"38.933_48.583","[[Zymohiria]]","8","TRUE",99,"48.583","38.933"
"33.166_46.700","[[Yakymivka]]","8","TRUE",99,"46.700","33.166"
"36.350_46.733","[[Prymorsk]]","8","TRUE",99,"46.733","36.350"
"35.700_47.250","[[Tokmak, Ukraine|Tokmak]]","8","TRUE",99,"47.250","35.700"
"34.997_47.386","[[Dniprorudne]]","10","TRUE",99,"47.386","34.997"
"29.060_51.556","[[Vystupovychi]]","10","TRUE",99,"51.556","29.060"
"26.649_50.301","[[Khmelnytskyi Nuclear Power Plant]]","12","TRUE",99,"50.301","26.649"
"31.216_47.816","[[South Ukraine Nuclear Power Plant|Yuzhnoukrainsk Nuclear Power Station]]","12","TRUE",99,"47.816","31.216"
"25.891_51.327","[[Rivne Nuclear Power Plant]]","12","TRUE",99,"51.327","25.891"
"35.224_47.741","[[Balabyne]]","8","TRUE",99,"47.741","35.224"
"36.804_46.774","[[Berdiansk]]","16","TRUE",99,"46.774","36.804"
"36.653_47.363","[[Bilmak]]","8","TRUE",99,"47.363","36.653"
"36.211_47.188","[[Chernihivka]]","8","TRUE",99,"47.188","36.211"
"34.994_47.383","[[Dniprorudne]]","10","TRUE",99,"47.383","34.994"
"34.634_47.502","[[Enerhodar]]","14","TRUE",99,"47.502","34.634"
"36.273_47.661","[[Huliaipole]]","10","TRUE",99,"47.661","36.273"
"34.417_47.487","[[Kamianka-Dniprovska]]","10","TRUE",99,"47.487","34.417"
"35.533_47.713","[[Komyshuvakha, Zaporizhzhia |Komyshuvakha]]","8","TRUE",99,"47.713","35.533"
"35.215_47.710","[[Kushuhum]]","8","TRUE",99,"47.710","35.215"
"35.359_46.855","[[Melitopol]]","16","TRUE",99,"46.855","35.359"
"35.596_47.209","[[Molochansk]]","8","TRUE",99,"47.209","35.596"
"35.417_47.487","[[Mykhailivka, Mykhailivka Raion, Zaporizhzhia |Mykhailivka]]","10","TRUE",99,"47.487","35.417"
"35.910_47.977","[[Novomykolaivka, Zaporizhzhia |Komyshuvakha]]","8","TRUE",99,"47.977","35.910"
"35.788_47.566","[[Orikhiv]]","10","TRUE",99,"47.566","35.788"
"36.249_47.479","[[Polohy]]","10","TRUE",99,"47.479","36.249"
"35.638_46.739","[[Pryazovske]]","8","TRUE",99,"46.739","35.638"
"36.354_46.723","[[Prymorsk]]","10","TRUE",99,"46.723","36.354"
"35.218_47.259","[[Tokmak, Ukraine|Tokmak]]","12","TRUE",99,"47.259","35.218"
